"id","type","name","profile"
"1","class","Classdiagram (74).xmi","{""PCOA"":1,""PASC"":0,""POD"":1,""PADV"":0,""PRI"":0,""POG"":1,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":1,""PEN"":0,""PSHA"":1,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"2","class","xBaseJ.uml","{""PCOA"":0,""PASC"":0,""POD"":1,""PADV"":1,""PRI"":0,""POG"":0,""POI"":0,""PDA"":0,""PSO"":1,""POP"":0,""POQ"":0,""PABC"":1,""PEN"":0,""PSHA"":0,""PNAA"":0,""PGS"":0,""PTC"":0,""PSA"":1,""PAO"":1}"
"3","class","Classdiagram (594).xmi","{""PCOA"":0,""PASC"":0,""POD"":0,""PADV"":0,""PRI"":0,""POG"":1,""POI"":1,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":1,""PEN"":1,""PSHA"":1,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"4","class","Classdiagram (508).xmi","{""PCOA"":0,""PASC"":0,""POD"":1,""PADV"":0,""PRI"":0,""POG"":1,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":1,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"5","class","JavaGraticule3D-CT_Transformation.uml","{""PCOA"":0,""PASC"":0,""POD"":1,""PADV"":1,""PRI"":0,""POG"":0,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":1,""PEN"":0,""PSHA"":0,""PNAA"":0,""PGS"":0,""PTC"":0,""PSA"":1,""PAO"":1}"
"6","class","javaGeom-0.11.1_geom2d.uml","{""PCOA"":0,""PASC"":0,""POD"":1,""PADV"":1,""PRI"":1,""POG"":0,""POI"":1,""PDA"":0,""PSO"":1,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":0,""PNAA"":0,""PGS"":0,""PTC"":1,""PSA"":1,""PAO"":1}"
"7","class","Classdiagram (137).xmi","{""PCOA"":0,""PASC"":0,""POD"":1,""PADV"":0,""PRI"":0,""POG"":0,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":0,""PNAA"":0,""PGS"":0,""PTC"":0,""PSA"":1,""PAO"":0}"
"8","class","Classdiagram (519).xmi","{""PCOA"":1,""PASC"":0,""POD"":0,""PADV"":0,""PRI"":0,""POG"":0,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":0,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"9","class","Classdiagram (428).xmi","{""PCOA"":0,""PASC"":0,""POD"":0,""PADV"":0,""PRI"":0,""POG"":1,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":1,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"10","class","Classdiagram (34).xmi","{""PCOA"":0,""PASC"":0,""POD"":1,""PADV"":0,""PRI"":0,""POG"":1,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":0,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"11","class","Classdiagram (86).xmi","{""PCOA"":0,""PASC"":0,""POD"":0,""PADV"":0,""PRI"":0,""POG"":0,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":0,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"12","class","Classdiagram (551).xmi","{""PCOA"":1,""PASC"":0,""POD"":0,""PADV"":0,""PRI"":0,""POG"":1,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":0,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
"13","class","Classdiagram (649).xmi","{""PCOA"":1,""PASC"":0,""POD"":0,""PADV"":0,""PRI"":0,""POG"":1,""POI"":0,""PDA"":0,""PSO"":0,""POP"":0,""POQ"":0,""PABC"":0,""PEN"":0,""PSHA"":0,""PNAA"":1,""PGS"":0,""PTC"":0,""PSA"":0,""PAO"":0}"
